,Distance class,HTS,HTS adjust with INSEE population weights,EQASIM,Proportion_HTS,Proportion_EQASIM
52,"(52.0, 53.0]",1450.31909882,1930.2478531177526,8000.0,0.0002014792969708179,0.0008802816901408451
53,"(53.0, 54.0]",0.0,0.0,5000.0,0.0,0.0005501760563380282
54,"(54.0, 55.0]",1078.3646194,1435.2089779197827,3000.0,0.00014980713249359266,0.0003301056338028169
55,"(55.0, 56.0]",0.0,0.0,0.0,0.0,0.0
56,"(56.0, 57.0]",0.0,0.0,7000.0,0.0,0.0007702464788732394
57,"(57.0, 58.0]",0.0,0.0,6000.0,0.0,0.0006602112676056338
58,"(58.0, 59.0]",2000.5884136,2662.6081759976323,5000.0,0.0002779230773614173,0.0005501760563380282
59,"(59.0, 60.0]",0.0,0.0,0.0,0.0,0.0
60,"(60.0, 61.0]",4981.38935286,6629.793479052162,0.0,0.0006920179328595559,0.0
61,"(61.0, 62.0]",0.0,0.0,8000.0,0.0,0.0008802816901408451
62,"(62.0, 63.0]",0.0,0.0,10000.0,0.0,0.0011003521126760564
63,"(63.0, 64.0]",0.0,0.0,0.0,0.0,0.0
64,"(64.0, 65.0]",0.0,0.0,0.0,0.0,0.0
65,"(65.0, 66.0]",0.0,0.0,9000.0,0.0,0.0009903169014084507
66,"(66.0, 67.0]",4740.7136784,6309.475209574738,0.0,0.000658583107566535,0.0
67,"(67.0, 68.0]",2866.95192008,3815.6622175276602,1000.0,0.00039827887378496497,0.00011003521126760564
68,"(68.0, 69.0]",0.0,0.0,4000.0,0.0,0.00044014084507042255
69,"(69.0, 70.0]",4218.1882665,5614.039594515914,3000.0,0.0005859935286768584,0.0003301056338028169
70,"(70.0, 71.0]",1989.4323829,2647.7604750154755,8000.0,0.0002763732741324247,0.0008802816901408451
71,"(71.0, 72.0]",0.0,0.0,0.0,0.0,0.0
72,"(72.0, 73.0]",0.0,0.0,4000.0,0.0,0.00044014084507042255
73,"(73.0, 74.0]",18804.9662026,25027.765041536935,1000.0,0.002612398452962848,0.00011003521126760564
74,"(74.0, 75.0]",4667.737657,6212.350508706471,0.0,0.0006484452299785186,0.0
75,"(75.0, 76.0]",5104.7033201,6793.913582495678,0.0,0.0007091487914729549,0.0
76,"(76.0, 77.0]",0.0,0.0,1000.0,0.0,0.00011003521126760564
77,"(77.0, 78.0]",0.0,0.0,0.0,0.0,0.0
78,"(78.0, 79.0]",363.65250672,483.98967575361655,0.0,5.051884889003632e-05,0.0
79,"(79.0, 80.0]",0.0,0.0,2000.0,0.0,0.00022007042253521127
80,"(80.0, 81.0]",0.0,0.0,2000.0,0.0,0.00022007042253521127
81,"(81.0, 82.0]",7125.572241100001,9483.51333979486,0.0,0.0009898892504550708,0.0
82,"(82.0, 83.0]",0.0,0.0,0.0,0.0,0.0
83,"(83.0, 84.0]",0.0,0.0,0.0,0.0,0.0
84,"(84.0, 85.0]",10086.76421113,13424.600820108963,0.0,0.0014012600148631882,0.0
85,"(85.0, 86.0]",5440.99515602,7241.488598803293,1000.0,0.0007558666777183435,0.00011003521126760564
86,"(86.0, 87.0]",0.0,0.0,4000.0,0.0,0.00044014084507042255
87,"(87.0, 88.0]",0.0,0.0,0.0,0.0,0.0
88,"(88.0, 89.0]",0.0,0.0,0.0,0.0,0.0
89,"(89.0, 90.0]",380.62087482,506.5730893779597,0.0,5.2876105909068624e-05,0.0
90,"(90.0, 91.0]",16454.1134418,21898.985658970643,0.0,0.0022858164187655066,0.0
91,"(91.0, 92.0]",0.0,0.0,2000.0,0.0,0.00022007042253521127
92,"(92.0, 93.0]",0.0,0.0,2000.0,0.0,0.00022007042253521127
93,"(93.0, 94.0]",0.0,0.0,0.0,0.0,0.0
94,"(94.0, 95.0]",0.0,0.0,0.0,0.0,0.0
95,"(95.0, 96.0]",0.0,0.0,0.0,0.0,0.0
96,"(96.0, 97.0]",0.0,0.0,1000.0,0.0,0.00011003521126760564
97,"(97.0, 98.0]",0.0,0.0,0.0,0.0,0.0
98,"(98.0, 99.0]",0.0,0.0,3000.0,0.0,0.0003301056338028169
99,"(99.0, inf]",35513.62596495,47265.52958658887,21000.0,0.004933576616431744,0.0023107394366197183
